"EY","CFTP","ln_MV","DY","BTME","DTE","HSI"
0.0808,0.1032,10.0981,3.894,0.7508,9.095,1
0.1203,0.1328,10.4395,5.604,0.9183,1.1077,1
0.0328,0.0387,12.1486,1.962,0.8776,0.1409,1
0.0461,0.0839,13.1489,0,0.2052,-1.416,1
0.1095,0.1168,9.6325,3.042,0.7854,0.8611,1
0.0511,0.109,11.6078,0,0.5286,0.9417,1
0.0855,0.0669,10.5672,4.794,1.071,0.4296,1
0.0759,0.1203,11.1832,4.938,0.394,0.4507,1
0.18,1.3714,11.0335,1.324,0.507,1.0219,1
0.0798,0.0792,9.1423,6.236,1.9463,0.4498,1
0.059,0.0524,10.0641,4.922,1.0735,0.364,1
0.0618,0.0662,12.0142,5.674,0.273,9.9016,1
0.1147,0.1079,9.7566,3.752,1.1604,0.1504,1
0.0717,0.0371,11.0221,3.094,0.9284,0.3108,1
0.0598,0.0694,10.8143,3.446,0.3504,0.1441,1
0.0975,0.1316,11.0241,5.34,0.5501,0.6921,1
0.0623,0.0781,13.6733,3.994,0.4134,-1.1738,1
0.0314,0.0489,12.6903,2.274,0.6732,0.4855,1
0.0619,0.0712,9.0513,4.962,2.4921,0.2471,1
0.0311,0.045,10.3538,1.208,0.1162,0.5223,1
0.0292,0.0321,10.3382,0.948,0.1558,0.5999,1
0.0354,0.0336,10.1961,2.796,0.1286,1.5639,1
0.0859,0.1273,10.8427,2.372,0.0884,0.8382,1
0.0143,0.1637,9.6098,2.864,3.5521,0.6954,1
-3.9521,0.0859,10.8423,0,-0.1495,-5.9046,1
0.0934,0.0989,9.4915,2.984,0.941,0.2038,1
0.0533,0.0562,11.9589,2.384,0.8233,0.4044,1
0.0426,0.0231,9.4076,1.268,2.1033,0.3865,1
0.0558,0.0697,10.6042,2.614,1.0971,0.3136,1
0.053,0.0509,9.6251,2.752,0.2077,0.5497,1
0.0538,0.0748,10.7443,4.118,1.1793,0.4926,1
0.038,0.0455,9.5155,1.124,1.946,0.7572,1
-1.8292,-0.1732,5.5405,0,1.0379,0.2466,0
-2.236,-0.6897,5.0102,0,-0.2959,3.3263,0
-1.5406,-4.1667,4.4954,0,-2.8571,0.9148,0
-0.9006,-0.3872,4.5031,0,2.7981,0.0753,0
0.1923,4.1667,7.0489,4.73,0.9174,3.2208,0
0.3165,0.7588,5.5213,9.22,3.6772,0.98,0
0.2996,0.4377,5.4412,11.63,1.7072,0.6402,0
-0.0807,0.0901,7.2995,0,2.9085,0.4106,0
-0.5521,-0.1839,6.9399,0,4.9048,0.452,0
0.1317,0.0738,5.0022,6.586,1.978,0.465,0
0.2158,-1.4308,6.1012,0,1.4516,0.4333,0
-0.4701,-0.023,4.0042,0,2.7846,0.4718,0
0.1621,0.2517,6.7537,8.812,2.4637,-2.3308,0
0.078,0.2412,6.4848,1.558,1.101,0.8981,0
0.1109,0.0926,6.5267,3.398,1.4172,0.4259,0
-0.125,-2e-04,4.0102,0,0.0028,0.1979,0
-0.2195,-0.1528,4.6751,0,3.3148,0.4108,0
0.1216,0.217,7.2157,4.554,1.8149,0.3971,0
0.0047,-0.0831,6.3265,0,1.1262,0.2575,0
0.0226,0.0377,5.2539,0,1.0419,0.2089,0
0.1923,0.2404,6.4273,8.572,0.8198,0.3452,0
0.1783,0.1788,7.0412,2.97,1.456,0.5072,0
0.1042,0.0651,4.5009,0,1.7544,1.5129,0
