"Date","HSBC","CLP","CK"
"2014-09-01",65.698883,55.751987,87.126175
"2014-09-02",65.384521,56.167412,87.003082
"2014-09-03",65.738159,56.972832,89.464378
"2014-09-04",65.463112,56.633709,88.234154
"2014-09-05",65.698883,56.294582,87.188179
"2014-09-08",65.188057,55.87067,86.941948
"2014-09-10",64.637955,55.44677,85.280342
"2014-09-11",64.952301,55.107647,85.895706
"2014-09-12",64.913002,55.065258,85.58802
"2014-09-15",64.834404,54.64135,85.034218
"2014-09-16",64.71653,54.726128,84.726616
"2014-09-17",65.148758,54.895695,84.542038
"2014-09-18",65.070175,54.683743,83.557518
"2014-09-19",66.17038,54.175056,84.234352
"2014-09-22",65.659576,53.920708,83.188354
"2014-09-23",65.109459,54.090271,82.880669
"2014-09-24",64.677254,53.963108,83.188354
"2014-09-25",64.59864,53.5392,83.434494
"2014-09-26",64.559372,54.132664,82.880669
"2014-09-29",63.419846,53.200073,79.804169
"2014-09-30",62.51609,52.860947,78.696724
"2014-10-03",61.808807,53.072899,78.819748
"2014-10-06",62.162453,53.157692,80.604126
"2014-10-07",62.123158,54.302227,81.46553
"2014-10-08",62.20174,54.175056,80.419548
"2014-10-09",62.71257,54.683743,81.46553
"2014-10-10",61.612335,54.005497,80.296432
"2014-10-13",61.455166,54.980469,80.54258
"2014-10-14",61.769524,54.853302,80.665596
"2014-10-15",61.769524,55.277206,81.034828
"2014-10-16",61.02293,55.319603,79.558044
"2014-10-17",61.219398,55.065258,80.604126
"2014-10-20",60.944351,55.277206,79.927292
"2014-10-21",61.101524,55.57394,79.988838
"2014-10-22",61.612335,55.913059,81.896248
"2014-10-23",61.9104,55.489151,82.203842
"2014-10-24",61.870724,55.404385,82.080818
"2014-10-27",62.148537,55.150043,81.588562
"2014-10-28",62.58506,56.08263,82.634544
"2014-10-29",62.743805,56.294582,83.619072
"2014-10-30",62.267586,56.33696,84.111336
"2014-10-31",62.58506,56.59132,84.665062
"2014-11-03",62.426319,56.379368,84.788155
"2014-11-04",62.108826,56.464149,83.37294
"2014-11-05",61.83102,56.803261,82.634544
"2014-11-06",61.989784,56.88805,82.880669
"2014-11-07",61.870724,56.930439,83.249916
"2014-11-10",61.989784,57.100002,85.280342
"2014-11-11",61.950096,57.311951,85.034218
"2014-11-12",62.307274,57.100002,84.972733
"2014-11-13",62.069145,57.651073,85.526474
"2014-11-14",61.791336,57.608688,86.387535
"2014-11-17",61.553226,57.269558,85.83416
"2014-11-18",61.275429,56.379368,85.034218
"2014-11-19",61.156361,56.464149,84.603508
"2014-11-20",60.997616,56.08263,84.788155
"2014-11-21",60.71981,56.252193,84.972733
"2014-11-24",61.196053,56.421753,87.987946
"2014-11-25",61.156361,56.506538,88.357277
"2014-11-26",61.870724,57.184776,88.602623
"2014-11-27",61.553226,56.676083,88.172173
"2014-11-28",61.156361,57.184776,87.556641
"2014-12-01",60.402332,56.125019,84.84964
"2014-12-02",60.640438,56.885765,85.280342
"2014-12-03",60.75951,56.201942,84.726616
"2014-12-04",61.235744,56.37289,84.542038
