1m,3m,6m,9m,12m,18m,2y,3y,4y,5y,7y,10y,15y
0.34,0.51,0.7,0.79,0.84,0.9,0.93,1.24,1.4,1.65,1.93,2.16,2.33
0.29,0.36,0.73,0.79,0.82,0.9,0.94,1.25,1.41,1.64,1.9,2.12,2.3
0.32,0.42,0.78,0.8,0.81,0.88,0.92,1.25,1.42,1.65,1.91,2.11,2.27
0.29,0.4,0.7,0.76,0.78,0.89,0.94,1.23,1.37,1.63,1.92,2.13,2.28
0.3,0.55,0.74,0.78,0.79,0.89,0.94,1.24,1.39,1.64,1.92,2.12,2.28
0.32,0.52,0.8,0.78,0.76,0.9,0.96,1.26,1.41,1.65,1.93,2.14,2.3
0.29,0.53,0.7,0.74,0.76,0.87,0.93,1.24,1.39,1.64,1.92,2.13,2.3
0.29,0.39,0.69,0.73,0.75,0.89,0.95,1.24,1.38,1.62,1.9,2.1,2.26
0.33,0.43,0.78,0.78,0.78,0.9,0.96,1.25,1.4,1.64,1.91,2.12,2.27
0.3,0.45,0.78,0.77,0.77,0.94,1.02,1.29,1.42,1.66,1.93,2.13,2.29
0.29,0.51,0.81,0.8,0.79,0.97,1.06,1.31,1.44,1.67,1.93,2.13,2.28
0.29,0.46,0.81,0.82,0.82,0.97,1.05,1.32,1.45,1.68,1.94,2.13,2.28
0.29,0.49,0.72,0.76,0.78,0.91,0.98,1.22,1.34,1.56,1.81,1.99,2.14
0.29,0.41,0.68,0.75,0.78,0.87,0.91,1.16,1.29,1.5,1.75,1.93,2.07
0.33,0.39,0.66,0.74,0.78,0.87,0.92,1.16,1.28,1.48,1.71,1.88,2.01
0.29,0.47,0.74,0.78,0.8,0.92,0.98,1.13,1.2,1.39,1.59,1.75,1.87
0.29,0.47,0.77,0.81,0.83,0.97,1.04,1.2,1.28,1.44,1.62,1.75,1.86
0.33,0.57,0.79,0.81,0.82,0.98,1.06,1.15,1.2,1.36,1.55,1.7,1.81
0.3,0.42,0.86,0.84,0.83,1.02,1.11,1.21,1.26,1.41,1.59,1.73,1.83
0.32,0.53,0.84,0.84,0.84,0.98,1.05,1.2,1.28,1.42,1.58,1.7,1.8
0.33,0.57,0.86,0.86,0.86,0.98,1.04,1.2,1.29,1.42,1.57,1.68,1.77
0.29,0.53,0.86,0.85,0.84,0.96,1.01,1.16,1.23,1.36,1.51,1.62,1.71
0.32,0.64,0.86,0.87,0.87,0.98,1.04,1.12,1.15,1.29,1.44,1.56,1.65
0.34,0.51,0.86,0.85,0.85,0.94,0.99,1.11,1.17,1.23,1.29,1.7,2.24
0.33,0.47,0.78,0.79,0.79,0.85,0.88,1,1.06,1.15,1.25,1.64,2.11
0.33,0.45,0.71,0.75,0.77,0.78,0.79,0.9,0.96,1.1,1.25,1.62,2.05
0.33,0.56,0.81,0.81,0.8,0.88,0.92,1.03,1.09,1.16,1.25,1.6,2.04
0.34,0.55,0.85,0.86,0.86,0.95,0.99,1.13,1.21,1.3,1.4,1.75,2.17
0.35,0.56,0.86,0.85,0.84,0.95,1,1.14,1.21,1.31,1.43,1.76,2.15
